Camname,Camctg,Camlat,Camlon,Camnewadd,Camoldadd,Camtel,Camsite,Campark,Camconv
을수민박야영,야영장,37.810631,128.412708,강원도 홍천군 내면 을수길 27,강원도 홍천군 내면 광원리 1863번지,033-435-5986,36,10,화장실+취사시설+
농업회사법인주식회사 긴들마당,야영장,37.748773,128.060651,강원도 홍천군 화촌면 구룡령로 1199,강원도 홍천군 화촌면 장평리 1188-1번지,033-436-3060,25,10,화장실+취사시설+
동키캐슬 캠핑장,야영장,37.584939,127.842518,강원도 홍천군 남면 시동로 764-63,강원도 홍천군 남면 시동리 411-9번지,033-433-1264,10,10,화장실+취사시설+
고길동 캠핑장,야영장,37.827792,127.833879,강원도 홍천군 북방면 성동로 1625-16,강원도 홍천군 북방면 북방리 946번지,033-9403-7603,10,10,화장실+취사시설+
국립삼봉자연휴양림 야영장,야영장,37.865261,128.464874,강원도 홍천군 내면 삼봉휴양길 276,강원도 홍천군 내면 광원리 산 197-1번지,033-435-8536,10,10,화장실+취사시설+
용가리쌤 야영장,야영장,37.754279,127.950062,강원도 홍천군 화촌면 설악로 2692,강원도 홍천군 화촌면 구성포리 65번지,033-434-9391,10,10,화장실+취사시설+
안단테 홍천캠핑장,야영장,37.806863,128.082248,강원도 홍천군 내촌면 가래올길 53-16,강원도 홍천군 내촌면 답풍리 258-2번지,033-433-9005,10,10,화장실+취사시설+
캠누리 오토캠핑장,야영장,37.693182,127.630671,강원도 홍천군 서면 개야마을길 68-27,강원도 홍천군 서면 개야리 42-2번지,031-529-7160,10,10,화장실+취사시설+
엘림캠핑장,야영장,37.747755,128.034804,강원도 홍천군 화촌면 군들길 20,강원도 홍천군 화촌면 군업리 345-2번지,033-432-1636,10,10,화장실+취사시설+
서석야영장,야영장,37.696541,128.250792,강원도 홍천군 서석면 고분대월길 67,강원도 홍천군 서석면 생곡리 401-1번지,033-436-1755,10,10,화장실+취사시설+
캐나디언 카누클럽 야영장,야영장,37.722051,127.586824,강원도 홍천군 서면 마곡길 113-28,강원도 홍천군 서면 마곡리 23-1번지,033-3969-9000,10,10,화장실+취사시설+
팔봉산관광지 야영장,야영장,37.703155,127.694953,강원도 홍천군 서면 한치골길 1124,강원도 홍천군 서면 어유포리 272번지,033-430-4281,10,10,화장실+취사시설+
개암벌 용소 관광농원 캠핑장,야영장,37.860308,128.070543,강원도 홍천군 두촌면 군유동길 361-26,강원도 홍천군 두촌면 괘석리 617번지,033-435-4673,10,10,화장실+취사시설+
가리산자연휴양림 야영장,야영장,37.862224,128.024323,강원도 홍천군 두촌면 가리산길 426,강원도 홍천군 두촌면 천현리 134-1번지,033-435-6034,10,10,화장실+취사시설+
수하리 캠핑파크,야영장,37.763447,128.166445,강원도 홍천군 서석면 행치령로 708,강원도 홍천군 서석면 수하리 743번지,033-434-9778,22,10,화장실+취사시설+
스톤엑스 캠핑장,야영장,37.681315,127.756841,강원도 홍천군 남면 남노일로 1164-22,강원도 홍천군 남면 남노일리 234-1번지,033-434-7878,20,10,화장실+취사시설+
산으로 캠핑장,야영장,37.714061,127.568875,강원도 홍천군 서면 마곡리 263-1번지,강원도 홍천군 서면 마곡리 263-1번지,033-3436-7676,36,10,화장실+취사시설+
살둔마을 생둔분교 캠핑장,야영장,37.831735,128.371185,강원도 홍천군 내면 살둔길 25,강원도 홍천군 내면 율전리 221-17번지,033-434-3798,10,10,화장실+취사시설+
오투캐빈,야영장,37.817107,128.461591,강원도 홍천군 내면 을수길 153-6,강원도 홍천군 내면 광원리 471-4번지,033-435-0203,10,10,화장실+취사시설+
여차울 캠핑장,야영장,37.860747,128.277766,강원도 홍천군 내면 여차동길 745-64,강원도 홍천군 내면 방내리 147번지,070-4140-4702,10,10,화장실+취사시설+
화니캠핑앤글램핑,야영장,37.646339,128.034016,강원도 홍천군 동면 안곡길 135-1,강원도 홍천군 동면 좌운리 120-1번지,033-435-2321,10,10,화장실+취사시설+
알프스밸리 캠핑장,야영장,37.747338,128.044317,강원도 홍천군 화촌면 구룡령로 1016-29,강원도 홍천군 화촌면 군업리 185-1번지,033-433-2332,50,10,화장실+취사시설+
숲속 동키마을 캠핑장,야영장,37.640407,127.805295,강원도 홍천군 홍천읍 며느리고개길 148-18,강원도 홍천군 홍천읍 상오안리 420-1번지,033-434-3486,12,10,화장실+취사시설+
(주)이스케이프지점 휴토피아,야영장,37.696104,127.689566,강원도 홍천군 서면 팔봉산로 976,강원도 홍천군 서면 어유포리 282-6번지,070-7443-2622,2,10,화장실+취사시설+
